2a01:4f8:13b:39ce::2,3478
2a03:8600::89,3478
2a01:4f8:c17:8f74::1,3478
2001:1538:1::224:74,3478
2a01:4f8:242:56ca::2,3478
2001:41d0:2:12b9::1,3478
2001:678:b28::118,3478
2600:1f16:8c5:101:80b:b58b:828:8df4,3478
2406:da1c:c7:8700:3a86:24a8:3b8f:202d,3478
2001:4060:1:1005::10:32,3478
2a00:1169:11b:a6b0::,3478
2a02:247a:204:eb00::1,3478
2a01:4f8:13b:39ce::2,3478
2001:678:b28::118,3478
2001:41d0:8:8a6d::1,3478
2a01:4f8:c17:8f74::1,443
2a03:8600::89,3478
2a01:4f8:242:56ca::2,3478
2a01:4f8:13b:39ce::2,3478
2001:1538:1::224:74,3478
2a01:4f8:c17:8f74::1,3478
2a01:4f8:c17:8f74::1,3478
2a01:4f8:242:56ca::2,3478
2001:1538:1::224:74,3478
2a01:4f8:13b:39ce::2,3478
2a02:247a:204:eb00::1,3478
2a01:4f8:c17:8f74::1,443
2a01:4f8:13b:39ce::2,3478
2a01:4f8:242:56ca::2,3478
2a02:247a:204:eb00::1,3478
2001:1538:1::224:74,3478
2a01:4f8:13b:39ce::2,3478
2a01:4f8:c17:8f74::1,3478
2a01:4f8:13b:39ce::2,3478
2001:41d0:8:8a6d::1,3478
2a03:8600::89,3478
2a01:4f8:c17:8f74::1,443
2001:678:b28::118,3478
0,3478,stun.easybell.de
0,3478,stun.easycall.pl
0,3478,stun.easyvoip.com
0,3478,stun.edge.net
0,3478,stun.efficace-factory.com
0,3478,stun.einsundeins.com
0,3478,stun.einsundeins.de
0,3478,stun.ekiga.net
0,3478,stun.eleusi.com
0,3478,stun.elitetele.com
0,3478,stun.engineeredarts.co.uk
0,3478,stun.eol.co.nz
0,3478,stun.eoni.com
0,3478,stun.epygi.com
0,3478,stun.etoilediese.fr
0,3478,stun.eyeball.com
0,3478,stun.f.haeder.net
0,3478,stun.fairytel.at
0,3478,stun.faktortel.com.au
0,3478,stun.fathomvoice.com
0,3478,stun.fbsbx.com
0,3478,stun.files.fm
0,3478,stun.finsterwalder.com
0,3478,stun.fitauto.ru
0,3478,stun.fixup.net
0,3478,stun.flashdance.cx
0,3478,stun.fmo.de
0,3478,stun.foad.me.uk
0,3478,stun.framasoft.org
0,3478,stun.freecall.com
0,3478,stun.freeswitch.org
0,3478,stun.freevoipdeal.com
0,3478,stun.frozenmountain.com
0,3478,stun.futurasp.es
0,3478,stun.fuzemeeting.com
0,3478,stun.fwdnet.net
0,3478,stun.galeriemagnet.at
0,3478,stun.geesthacht.de
0,3478,stun.genymotion.com
0,3478,stun.geonet.ro
0,3478,stun.gigaset.net
0,3478,stun.globaltel.co.uk
0,3478,stun.gmx.de
0,3478,stun.gmx.net
0,3478,stun.gntel.nl
0,3478,stun.godatenow.com
0,3478,stun.goldenfrog.com
0,3478,stun.goldfish.ie
0,3478,stun.gradwell.com
0,3478,stun.graftlab.com
0,3478,stun.grazertrinkwasseringefahr.at
0,3478,stun.halonet.pl
0,3478,stun.healthtap.com
0,3478,stun.heeds.eu
0,3478,stun.hellonanu.com
0,3478,stun.hicare.net
0,3478,stun.hide.me
0,3478,stun.hitv.com
0,3478,stun.hoiio.com
0,3478,stun.hosteurope.de
0,3478,stun.hot-chilli.net
0,3478,stun.ideasip.com
0,3478,stun.imafex.sk
0,3478,stun.imesh.com
0,3478,stun.imp.ch
0,3478,stun.infra.net
0,3478,stun.internetcalls.com
0,3478,stun.intervoip.com
0,3478,stun.ipcomms.net
0,3478,stun.ipfire.org
0,3478,stun.iphone.freecall.com
0,3478,stun.ippi.com
0,3478,stun.ippi.fr
0,3478,stun.ipshka.com
0,3478,stun.iptel.org
0,3478,stun.irian.at
0,3478,stun.irishvoip.com
0,3478,stun.isp.net.au
0,3478,stun.it1.hr
0,3478,stun.ivao.aero
0,3478,stun.ixc.ua
0,3478,stun.jabber.dk
0,3478,stun.jabbim.cz
0,3478,stun.jappix.com
0,3478,stun.jitsi.net
0,3478,stun.jowisoftware.de
0,3478,stun.jumblo.com
0,3478,stun.junet.se
0,3478,stun.justvoip.com
0,3478,stun.kanet.ru
0,3478,stun.kanojo.de
0,3478,stun.kaseya.com
0,443,stun.kinesisvideo.us-east-1.amazonaws.com
0,443,stun.kinesisvideo.us-east-2.amazonaws.com
0,443,stun.kinesisvideo.us-west-2.amazonaws.com
0,3478,stun.kiwilink.co.nz
0,3478,stun.komsa.de
0,3478,stun.kotter.net
0,3478,stun.kundenserver.de
0,19302,stun.l.google.com
0,3478,stun.l.google.com
0,3478,stun.labs.net
0,3478,stun.ladridiricette.it
0,3478,stun.lebendigefluesse.at
0,3478,stun.leonde.org
0,3478,stun.leucotron.com.br
0,3478,stun.levigo.de
0,3478,stun.linea-gmbh.de
0,3478,stun.linea7.net
0,3478,stun.lineaencasa.com
0,3478,stun.linphone.org
0,3478,stun.linuxtrent.it
0,3478,stun.liveo.fr
0,3478,stun.lleida.net
0,3478,stun.localphone.com
0,3478,stun.logic.ky
0,3478,stun.lovense.com
0,3478,stun.lowratevoip.com
0,3478,stun.lugosoft.com
0,3478,stun.lundimatin.fr
0,3478,stun.m-online.net
0,3478,stun.magnet.ie
0,3478,stun.manle.com
0,3478,stun.marcelproust.it
0,3478,stun.medvc.eu
0,3478,stun.meetwife.com
0,3478,stun.megatel.si
0,3478,stun.meowsbox.com
0,3478,stun.messagenet.it
0,3478,stun.mgn.ru
0,3478,stun.mit.de
0,3478,stun.mitake.com.tw
0,3478,stun.miwifi.com
0,3478,stun.mixvoip.com
0,3478,stun.modulus.gr
0,3478,stun.moonlight-stream.org
0,3478,stun.mozcom.com
0,3478,stun.muoversi.net
0,3478,stun.myhowto.org
0,3478,stun.myspeciality.com
0,3478,stun.myvoipapp.com
0,3478,stun.myvoiptraffic.com
0,3478,stun.myvoiptraffic.net
0,3478,stun.mywatson.it
0,3478,stun.nanocosmos.de
0,3478,stun.nas.net
0,3478,stun.ncic.com
0,3478,stun.neomedia.it
0,3478,stun.neotel.co.za
0,3478,stun.netappel.com
0,3478,stun.netappel.fr
0,3478,stun.netgsm.com.tr
0,3478,stun.networkhardware.com
0,3478,stun.nexphone.ch
0,3478,stun.next-gen.ro
0,443,stun.nextcloud.com
0,3478,stun.nextcloud.com
0,3478,stun.nexxtmobile.de
0,3478,stun.nfon.net
0,3478,stun.noblogs.org
0,3478,stun.noc.ams-ix.net
0,3478,stun.node4.co.uk
0,3478,stun.nonoh.net
0,3478,stun.nottingham.ac.uk
0,3478,stun.nova.is
0,3478,stun.nventure.com
0,3478,stun.officinabit.com
0,3478,stun.olimontel.it
0,3478,stun.on.net.mk
0,3478,stun.oncloud7.ch
0,3478,stun.ooma.com
0,3478,stun.ooonet.ru
0,3478,stun.openvoip.it
0,3478,stun.openxcom.org
0,3478,stun.optdyn.com
0,3478,stun.oriontelekom.rs
0,3478,stun.ortopediacoam.it
0,3478,stun.outland-net.de
0,3478,stun.ozekiphone.com
0,3478,stun.patlive.com
0,3478,stun.peeters.com
0,3478,stun.peethultra.be
0,3478,stun.personal-voip.de
0,3478,stun.petcube.com
0,3478,stun.phone.com
0,3478,stun.phoneserve.com
0,3478,stun.piratenbrandenburg.de
0,3478,stun.pjsip.org
0,3478,stun.planetarium.com.br
0,3478,stun.plexicomm.net
0,3478,stun.poetamatusel.org
0,3478,stun.poivy.com
0,3478,stun.powerpbx.org
0,3478,stun.powervoip.com
0,3478,stun.ppdi.com
0,3478,stun.prizee.com
0,3478,stun.pure-ip.com
0,3478,stun.qcol.net
0,3478,stun.qq.com
0,3478,stun.quicknet.nl
0,3478,stun.qvod.com
0,3478,stun.rackco.com
0,3478,stun.radiojar.com
0,3478,stun.rapidnet.de
0,3478,stun.rb-net.com
0,3478,stun.readytalk.com
0,3478,stun.refint.net
0,3478,stun.remote-learner.net
0,3478,stun.ringostat.com
0,3478,stun.rixtelecom.se
0,3478,stun.rockenstein.de
0,3478,stun.rolmail.net
0,3478,stun.romaaeterna.nl
0,3478,stun.romancecompass.com
0,3478,stun.root-1.de
0,3478,stun.rounds.com
0,3478,stun.ru-brides.com
0,3478,stun.rynga.com
0,3478,stun.samsungsmartcam.com
0,3478,stun.schlund.de
0,3478,stun.schoeffel.de
0,3478,stun.schulinformatik.at
0,3478,stun.selasky.org
0,3478,stun.services.mozilla.com
0,3478,stun.sewan.fr
0,3478,stun.shadrinsk.net
0,3478,stun.siedle.com
0,3478,stun.sigmavoip.com
0,3478,stun.signalwire.com
0,3478,stun.simlar.org
0,3478,stun.sip.t-online.de
0,3478,stun.sip.us
0,3478,stun.sipdiscount.com
0,3478,stun.sipgate.co.uk
0,3478,stun.sipgate.com
0,3478,stun.sipgate.de
0,10000,stun.sipgate.net
0,3478,stun.sipgate.net
0,3478,stun.sipglobalphone.com
0,3478,stun.siplogin.de
0,3478,stun.sipnet.com
0,3478,stun.sipnet.net
0,3478,stun.sipnet.ru
0,3478,stun.siportal.it
0,3478,stun.sippeer.dk
0,3478,stun.sipsorcery.com
0,3478,stun.sipthor.net
0,3478,stun.siptraffic.com
0,3478,stun.siptrunk.com
0,3478,stun.sky.od.ua
0,3478,stun.skydrone.aero
0,3478,stun.skylink.ru
0,3478,stun.sma.de
0,3478,stun.smartvoip.com
0,3478,stun.smsdiscount.com
0,3478,stun.smslisto.com
0,3478,stun.snafu.de
0,3478,stun.softjoys.com
0,3478,stun.softjoys.ru
0,3478,stun.soho66.co.uk
0,3478,stun.solcon.nl
0,3478,stun.solnet.ch
0,3478,stun.solomo.de
0,3478,stun.sonetel.com
0,3478,stun.sonetel.net
0,3478,stun.sonetel.org
0,3478,stun.sovtest.ru
0,3478,stun.sparvoip.de
0,3478,stun.speedy.com.ar
0,3478,stun.splicecom.com
0,3478,stun.spokn.com
0,3478,stun.srce.hr
0,3478,stun.ssl7.net
0,3478,stun.stadtwerke-eutin.de
0,3478,stun.stochastix.de
0,3478,stun.streamnow.ch
0,3478,stun.studio-link.de
0,3478,stun.studio71.it
0,3478,stun.stunprotocol.org
0,3478,stun.surevoip.com
0,3478,stun.swrag.de
0,3478,stun.sylaps.com
0,3478,stun.symform.com
0,3478,stun.symonics.com
0,3478,stun.symplicity.com
0,3478,stun.syncthing.net
0,3478,stun.synergiejobs.be
0,3478,stun.syrex.co.za
0,3478,stun.sysadminman.net
0,3478,stun.t-online.de
0,3478,stun.tagan.ru
0,3478,stun.talkho.com
0,3478,stun.tatneft.ru
0,3478,stun.taxsee.com
0,3478,stun.teachercreated.com
0,3478,stun.teamfon.de
0,3478,stun.technosens.fr
0,3478,stun.tel.lu
0,3478,stun.tel2.co.uk
0,3478,stun.telbo.com
0,3478,stun.telefacil.com
0,3478,stun.telefonica.de
0,3478,stun.teliax.com
0,3478,stun.telmex.com
0,3478,stun.telnyx.com
0,3478,stun.teltel.com
0,3478,stun.telus.net
0,3478,stun.telzy.com
0,3478,stun.thebrassgroup.it
0,3478,stun.thetis.pw
0,3478,stun.thinkrosystem.com
0,3478,stun.three.co.uk
0,3478,stun.threema.ch
0,3478,stun.thrutu.com
0,3478,stun.tichiamo.it
0,3478,stun.tis-dialog.ru
0,3478,stun.tiscali.co.uk
0,3478,stun.tng.de
0,3478,stun.totalcom.info
0,3478,stun.ttmath.org
0,3478,stun.tula.nu
0,3478,stun.tuodominio.com
0,3478,stun.twt.it
0,3478,stun.u-blox.com
0,3478,stun.uabrides.com
0,3478,stun.ucallweconn.net
0,3478,stun.ucsb.edu
0,3478,stun.ucw.cz
0,3478,stun.uipp.net
0,3478,stun.ukh.de
0,3478,stun.uls.co.za
0,3478,stun.unseen.is
0,3478,stun.url.net.au
0,3478,stun.usfamily.net
0,3478,stun.vadacom.co.nz
0,3478,stun.var6.cn
0,3478,stun.vavadating.com
0,3478,stun.veoh.com
0,3478,stun.verbo.be
0,3478,stun.vidyo.com
0,3478,stun.vipgroup.net
0,3478,stun.virtual-call.com
0,3478,stun.viva.gr
0,3478,stun.vivox.com
0,3478,stun.vline.com
0,3478,stun.vo.lu
0,3478,stun.vodafone.ro
0,3478,stun.voiceeclipse.net
0,3478,stun.voicetech.se
0,3478,stun.voicetrading.com
0,3478,stun.voip-austria.net
0,3478,stun.voip.aebc.com
0,3478,stun.voip.blackberry.com
0,3478,stun.voip.eu-west-1.aws.speedy.com.ar
0,3478,stun.voip.eutelia.it
0,3478,stun.voip.les.net
0,3478,stun.voiparound.com
0,3478,stun.voipblast.com
0,3478,stun.voipbuster.com
0,3478,stun.voipbusterpro.com
0,3478,stun.voipcheap.co.uk
0,3478,stun.voipcheap.com
0,3478,stun.voipconnect.com
0,3478,stun.voipdiscount.com
0,3478,stun.voipfibre.com
0,3478,stun.voipgain.com
0,3478,stun.voipgate.com
0,3478,stun.voipgrid.nl
0,3478,stun.voipia.net
0,3478,stun.voipinfocenter.com
0,3478,stun.voipjet.com
0,3478,stun.voipplanet.nl
0,3478,stun.voippro.com
0,3478,stun.voipraider.com
0,3478,stun.voipstunt.com
0,3478,stun.voipuser.org
0,3478,stun.voipvoice.it
0,3478,stun.voipwise.com
0,3478,stun.voipxs.nl
0,3478,stun.voipzoom.com
0,3478,stun.vomessen.de
0,3478,stun.vopium.com
0,3478,stun.voxalot.com
0,3478,stun.voxgratia.org
0,3478,stun.voxox.com
0,3478,stun.voys.nl
0,3478,stun.vozelia.com
0,3478,stun.voztele.com
0,3478,stun.vyke.com
0,3478,stun.waterpolopalermo.it
0,443,stun.wazo.io
0,3478,stun.wcoil.com
0,3478,stun.web.de
0,3478,stun.webcalldirect.com
0,3478,stun.webmatrix.com.br
0,3478,stun.wemag.com
0,3478,stun.westtel.ky
0,3478,stun.whoi.edu
0,3478,stun.wifirst.net
0,3478,stun.wtfismyip.com
0,3478,stun.wwdl.net
0,3478,stun.wxnz.net
0,3478,stun.xs4all.nl
0,3478,stun.xten.com
0,3478,stun.xtratelecom.es
0,3478,stun.yesdates.com
0,3478,stun.yesss.at
0,3478,stun.yollacalls.com
0,3478,stun.zadarma.com
0,3478,stun.zadv.com
0,3478,stun.zentauron.de
0,3478,stun.zepter.ru
0,3478,stun.zoiper.com
0,3478,stun01.sipphone.com
0,3478,stun1.1plus.net
0,3478,stun1.2talk.co.nz
0,3478,stun1.aebc.com
0,3478,stun1.afrihost.com
0,3478,stun1.callwithus.com
0,3478,stun1.dnsquery.com
0,3478,stun1.easycall.pl
0,3478,stun1.ekiga.net
0,3478,stun1.faktortel.com.au
0,3478,stun1.freeswitch.org
0,3478,stun1.gmx.net
0,3478,stun1.halonet.pl
0,3478,stun1.internetcalls.com
0,3478,stun1.intervoip.com
0,3478,stun1.jitsi.net
0,3478,stun1.justvoip.com
0,19302,stun1.l.google.com
0,3478,stun1.linphone.org
0,3478,stun1.lowratevoip.com
0,3478,stun1.miwifi.com
0,3478,stun1.nextcloud.com
0,3478,stun1.nonoh.net
0,3478,stun1.pjsip.org
0,3478,stun1.poivy.com
0,3478,stun1.sipdiscount.com
0,3478,stun1.sipgate.de
0,3478,stun1.sipgate.net
0,3478,stun1.smartvoip.com
0,3478,stun1.sonetel.com
0,3478,stun1.sonetel.net
0,3478,stun1.stunprotocol.org
0,3478,stun1.t-online.de
0,3478,stun1.three.co.uk
0,3478,stun1.voiceeclipse.net
0,3478,stun1.voip.aebc.com
0,3478,stun1.voip.les.net
0,3478,stun1.voipbuster.com
0,3478,stun1.voipbusterpro.com
0,3478,stun1.voipcheap.co.uk
0,3478,stun1.voipdiscount.com
0,3478,stun1.voipgain.com
0,3478,stun1.voippro.com
0,3478,stun1.voipstunt.com
0,3478,stun1.xs4all.nl
0,3478,stun2.callwithus.com
0,3478,stun2.dnsquery.com
0,3478,stun2.easycall.pl
0,3478,stun2.ekiga.net
0,3478,stun2.faktortel.com.au
0,3478,stun2.freeswitch.org
0,3478,stun2.gmx.net
0,3478,stun2.halonet.pl
0,3478,stun2.internetcalls.com
0,3478,stun2.intervoip.com
0,3478,stun2.jitsi.net
0,3478,stun2.justvoip.com
0,19302,stun2.l.google.com
0,3478,stun2.linphone.org
0,3478,stun2.lowratevoip.com
0,3478,stun2.miwifi.com
0,3478,stun2.nextcloud.com
0,3478,stun2.nonoh.net
0,3478,stun2.pjsip.org
0,3478,stun2.poivy.com
0,3478,stun2.sipdiscount.com
0,3478,stun2.sipgate.de
0,3478,stun2.sipgate.net
0,3478,stun2.smartvoip.com
0,3478,stun2.sonetel.com
0,3478,stun2.sonetel.net
0,3478,stun2.stunprotocol.org
0,3478,stun2.t-online.de
0,3478,stun2.three.co.uk
0,3478,stun2.voiceeclipse.net
0,3478,stun2.voip.aebc.com
0,3478,stun2.voip.les.net
0,3478,stun2.voipbuster.com
0,3478,stun2.voipbusterpro.com
0,3478,stun2.voipcheap.co.uk
0,3478,stun2.voipdiscount.com
0,3478,stun2.voipgain.com
0,3478,stun2.voippro.com
0,3478,stun2.voipstunt.com
0,3478,stun2.xs4all.nl
0,3478,stun3.callwithus.com
0,3478,stun3.easycall.pl
0,3478,stun3.ekiga.net
0,3478,stun3.faktortel.com.au
0,3478,stun3.freeswitch.org
0,3478,stun3.gmx.net
0,3478,stun3.halonet.pl
0,3478,stun3.internetcalls.com
0,3478,stun3.intervoip.com
0,3478,stun3.jitsi.net
0,19302,stun3.l.google.com
0,3478,stun3.linphone.org
0,3478,stun3.lowratevoip.com
0,3478,stun3.miwifi.com
0,3478,stun3.nonoh.net
0,3478,stun3.pjsip.org
0,3478,stun3.poivy.com
0,3478,stun3.sipdiscount.com
0,3478,stun3.sipgate.de
0,3478,stun3.sipgate.net
0,3478,stun3.smartvoip.com
0,3478,stun3.sonetel.com
0,3478,stun3.sonetel.net
0,3478,stun3.stunprotocol.org
0,3478,stun3.t-online.de
0,3478,stun3.voip.aebc.com
0,3478,stun3.voipbuster.com
0,3478,stun3.voipbusterpro.com
0,3478,stun3.voipcheap.co.uk
0,3478,stun3.voipdiscount.com
0,3478,stun3.voipgain.com
0,3478,stun3.voipstunt.com
0,19302,stun4.l.google.com
0,3478,stun4.voiceeclipse.net
0,3478,stun6.voiceeclipse.net
0,3478,stunserver.org
0,3478,stunserver.ro
0,3478,stunserver.ru
0,3478,stunserver.stunprotocol.org
0,3478,stunserver.us
0,3478,stunvoip.com
0,3478,tcp1.webex.com
0,5004,tcp2.webex.com
0,443,turn.anyfirewall.com
0,3478,turn.bettercrewl.ink
0,80,turn.bistri.com
0,3478,turn.codext.de
0,80,turn.codext.de
0,3478,turn.hepic.tel
0,3478,turn.p2pshare.tech
0,3478,turn.qudag.io
0,3478,turn.tuodominio.com
0,3478,turn.webrtc.ecl.ntt.com
0,5349,turn01.brie.fi
0,3478,turn3.voip.signal.org
0,3478,us-0.turn.peerjs.com
0,3478,wangxiang.website
0,3478,webrtc.free-solutions.org
0,3478,webrtc.skyrockets.space
0,3478,wikiric.xyz
0,3478,worldaz.relay.teams.microsoft.com
0,3478,www.lvboda.cn
0,3478,xtls1.webex.com
0,443,xtls2.webex.com
0,3478,stun.bridesbay.com
0,3478,stun.voztovoice.org
0,3478,stun.cellmail.com
0,3478,ovh1.p2pd.net
0,3478,stun01.sipphone.com
0,3478,turn-server.vara-network.io
0,3478,turn.quickblox.com
0,3478,stun.simplex.im
0,3478,stun.global.calls.mattermost.com
0,3478,stun.22333.fun
0,3478,stun.cunicu.li
0,3478,cunicu.li
0,3478,turn.rtcp.on.epicgames.com
0,3478,turn.ahey.net
0,3478,stun.netbird.io
0,3478,stun.wiretrustee.com
